,id,duracion_estadia,genero,edad,niños,codigo_destino,tipo_acomodacion
0,1013321,2,1,38.0,0.0,8,Hotel
1,1009487,6,0,37.0,0.0,3,Hotel
2,1002727,1,0,37.0,1.0,3,AirBnB
3,1001135,5,1,50.0,0.0,7,Hotel
4,1000796,4,1,42.0,1.0,1,AirBnB
5,1010222,4,0,,1.0,6,AirBnB
6,1011737,2,1,40.0,0.0,8,Hotel
7,1003308,2,1,38.0,1.0,7,Hotel
8,1005850,2,1,31.0,,3,AirBnB
9,1013201,3,0,37.0,0.0,5,Hotel
10,1008138,1,1,43.0,0.0,6,Hotel
11,1014026,5,0,34.0,0.0,5,AirBnB
12,1010153,5,1,46.0,1.0,0,AirBnB
13,1004882,3,1,36.0,1.0,8,Hotel
14,1011594,2,1,40.0,1.0,3,AirBnB
15,1001907,4,0,45.0,,3,AirBnB
16,1002676,1,1,22.0,0.0,6,AirBnB
17,1008795,3,1,33.0,1.0,1,Hotel
18,1000188,4,0,41.0,1.0,8,Hotel
19,1013702,1,0,41.0,0.0,2,Hotel
20,1009457,3,0,44.0,1.0,1,Hotel
21,1011962,5,1,52.0,0.0,8,Hotel
22,1000209,3,1,41.0,1.0,2,AirBnB
23,1008909,4,1,41.0,0.0,8,Hotel
24,1006805,7,0,42.0,,7,AirBnB
25,1007870,3,0,41.0,1.0,5,Hotel
26,1009270,5,1,41.0,0.0,3,Hotel
27,1008728,3,1,39.0,0.0,1,AirBnB
28,1010894,4,1,39.0,0.0,6,Hotel
29,1012619,2,1,37.0,0.0,4,AirBnB
30,1006850,2,0,29.0,1.0,6,AirBnB
31,1003315,4,0,43.0,1.0,0,Hotel
32,1000192,3,0,44.0,1.0,8,Hotel
33,1005584,3,0,47.0,1.0,2,Hotel
34,1003790,3,1,43.0,0.0,7,Hotel
35,1009680,5,0,,0.0,3,Hotel
36,1001458,3,1,36.0,1.0,6,Hotel
37,1007176,5,1,35.0,1.0,8,Hotel
38,1004415,3,0,39.0,1.0,5,AirBnB
39,1011193,3,0,43.0,0.0,2,Hotel
40,1010282,4,1,36.0,0.0,2,AirBnB
41,1001545,3,0,41.0,0.0,8,Hotel
42,1009576,4,0,55.0,1.0,7,Hotel
43,1011789,2,1,40.0,0.0,1,AirBnB
44,1010010,5,0,31.0,1.0,3,AirBnB
45,1005727,6,1,42.0,0.0,4,Hotel
46,1001486,5,1,37.0,0.0,5,AirBnB
47,1005501,3,0,51.0,0.0,4,Hotel
48,1010374,3,0,39.0,1.0,6,AirBnB
49,1003533,4,1,37.0,1.0,0,Hotel
50,1002773,4,0,53.0,1.0,6,Hotel
51,1010945,4,1,44.0,0.0,0,Hotel
52,1001055,6,0,,0.0,6,Hotel
53,1011115,3,0,44.0,1.0,4,Hotel
54,1000412,5,1,39.0,1.0,4,Hotel
55,1008788,3,0,33.0,0.0,3,Hotel
56,1012900,4,1,35.0,0.0,0,AirBnB
57,1004783,4,1,36.0,,2,AirBnB
58,1001828,6,0,45.0,0.0,7,AirBnB
59,1006281,4,1,46.0,0.0,1,Hotel
60,1001924,3,0,43.0,0.0,2,Hotel
61,1010614,3,0,46.0,0.0,8,AirBnB
62,1008421,9,1,41.0,0.0,2,AirBnB
63,1010836,4,0,42.0,0.0,3,Hotel
64,1005783,7,0,45.0,1.0,7,Hotel
65,1002133,3,1,40.0,1.0,3,Hotel
66,1009912,1,0,40.0,1.0,5,AirBnB
67,1003589,4,1,40.0,1.0,8,Hotel
68,1005546,4,1,37.0,0.0,5,AirBnB
69,1007858,4,0,41.0,1.0,6,Hotel
70,1005505,3,1,42.0,0.0,6,Hotel
71,1005295,2,1,47.0,1.0,8,AirBnB
72,1006559,2,1,38.0,1.0,2,Hotel
73,1006664,6,0,33.0,,0,Hotel
74,1003286,3,0,48.0,0.0,0,AirBnB
75,1003321,3,0,41.0,1.0,1,Hotel
76,1010162,4,1,40.0,1.0,6,Hotel
77,1002059,5,1,48.0,1.0,6,AirBnB
78,1003865,7,0,29.0,0.0,4,Hotel
79,1008555,3,0,41.0,0.0,3,AirBnB
80,1000200,2,0,49.0,1.0,8,Hotel
81,1006577,8,0,31.0,0.0,2,Hotel
82,1004540,4,1,40.0,1.0,7,Hotel
83,1008803,4,0,45.0,1.0,6,Hotel
84,1009321,5,0,40.0,0.0,2,Hotel
85,1008691,3,0,,1.0,6,AirBnB
86,1008984,3,1,35.0,0.0,1,AirBnB
87,1013085,3,0,43.0,1.0,8,Hotel
88,1009070,3,0,48.0,0.0,4,AirBnB
89,1007272,2,0,43.0,1.0,2,Hotel
90,1006182,4,0,33.0,0.0,7,Hotel
91,1004949,3,0,42.0,1.0,5,Hotel
92,1008910,4,1,46.0,0.0,2,Hotel
93,1012950,3,0,42.0,,6,AirBnB
94,1006914,11,0,38.0,1.0,7,AirBnB
95,1011396,4,0,47.0,,2,AirBnB
96,1010434,2,1,43.0,0.0,1,Hotel
97,1009158,6,1,40.0,,2,AirBnB
98,1011363,3,0,45.0,1.0,4,Hotel
99,1006893,3,1,40.0,,0,AirBnB
100,1007962,6,1,34.0,,8,Hotel
101,1000215,8,0,30.0,0.0,8,Hotel
102,1003618,2,1,39.0,0.0,8,AirBnB
103,1007562,5,1,38.0,0.0,8,AirBnB
104,1010099,3,0,36.0,1.0,7,AirBnB
105,1002871,3,1,40.0,0.0,7,Hotel
106,1007446,5,0,43.0,0.0,3,AirBnB
107,1000951,1,1,44.0,0.0,2,Hotel
108,1010881,2,0,41.0,,8,Hotel
109,1007362,2,0,43.0,,2,AirBnB
110,1008119,3,0,35.0,,2,Hotel
111,1003747,3,0,41.0,1.0,1,Hotel
112,1010156,7,0,45.0,1.0,1,Hotel
113,1004026,2,0,37.0,0.0,7,Hotel
114,1012384,3,1,33.0,0.0,1,AirBnB
115,1006892,3,0,40.0,1.0,5,AirBnB
116,1009811,5,0,,1.0,2,AirBnB
117,1001243,1,1,41.0,0.0,1,Hotel
118,1010515,3,0,45.0,1.0,1,Hotel
119,1003074,5,0,36.0,0.0,3,Hotel
120,1009033,1,0,35.0,,1,Hotel
121,1005547,5,1,43.0,0.0,0,Hotel
122,1009847,3,1,37.0,,4,AirBnB
123,1000048,4,1,27.0,1.0,2,Hotel
124,1005165,5,1,38.0,0.0,2,AirBnB
125,1013262,4,1,54.0,1.0,5,AirBnB
126,1013795,7,0,38.0,1.0,0,Hotel
127,1012739,2,1,30.0,,4,Hotel
128,1008828,4,0,40.0,0.0,4,AirBnB
129,1000511,1,0,39.0,0.0,5,Hotel
130,1005167,7,0,44.0,1.0,3,Hotel
131,1011685,4,0,43.0,0.0,3,AirBnB
132,1008143,3,0,43.0,1.0,8,Hotel
133,1010589,3,0,,,1,Hotel
134,1005428,4,1,39.0,0.0,0,AirBnB
135,1013747,3,0,43.0,1.0,8,Hotel
136,1011435,5,1,48.0,1.0,2,AirBnB
137,1013672,3,0,54.0,0.0,2,AirBnB
138,1009235,5,1,39.0,1.0,2,Hotel
139,1013634,9,0,43.0,1.0,3,Hotel
140,1013373,1,1,,0.0,2,Hotel
141,1009816,6,1,35.0,1.0,7,Hotel
142,1000979,5,1,,1.0,5,Hotel
143,1010926,5,0,41.0,1.0,2,Hotel
144,1005599,1,0,47.0,0.0,4,AirBnB
145,1003641,6,0,48.0,0.0,8,AirBnB
146,1007599,6,1,47.0,0.0,1,Hotel
147,1003495,7,0,44.0,1.0,5,Hotel
148,1002587,5,1,34.0,,4,AirBnB
149,1005338,2,0,41.0,0.0,2,AirBnB
150,1014051,2,0,40.0,1.0,4,AirBnB
151,1011168,3,0,57.0,1.0,8,Hotel
152,1003487,9,1,44.0,1.0,8,AirBnB
153,1003284,6,1,46.0,1.0,7,AirBnB
154,1010021,2,0,41.0,1.0,1,Hotel
155,1001101,3,0,38.0,1.0,7,AirBnB
156,1007960,5,1,45.0,1.0,7,AirBnB
157,1013681,2,1,34.0,0.0,4,AirBnB
158,1010343,2,1,37.0,1.0,6,Hotel
159,1012894,3,1,48.0,1.0,0,AirBnB
160,1004210,5,1,39.0,1.0,7,Hotel
161,1012774,3,0,39.0,1.0,2,AirBnB
162,1005067,4,0,38.0,0.0,8,Hotel
163,1011421,4,1,33.0,1.0,3,Hotel
164,1002762,2,0,41.0,0.0,5,AirBnB
165,1013302,2,1,38.0,1.0,7,Hotel
166,1004568,3,1,38.0,,3,AirBnB
167,1006958,4,0,43.0,1.0,1,Hotel
168,1010483,1,0,45.0,1.0,4,Hotel
169,1009464,11,0,46.0,0.0,1,AirBnB
170,1001543,4,1,39.0,1.0,4,Hotel
171,1003672,7,0,39.0,,8,Hotel
172,1010599,2,1,51.0,1.0,5,Hotel
173,1011349,4,1,39.0,1.0,7,Hotel
174,1012654,3,0,42.0,0.0,4,AirBnB
175,1009466,4,0,39.0,0.0,0,Hotel
176,1004685,4,0,35.0,0.0,1,Hotel
177,1007502,5,1,47.0,0.0,7,Hotel
178,1004599,5,1,,1.0,4,Hotel
179,1013297,6,1,39.0,1.0,6,Hotel
180,1003599,3,1,47.0,1.0,0,AirBnB
181,1013248,7,1,,0.0,1,AirBnB
182,1005527,2,1,39.0,1.0,2,Hotel
183,1006220,4,0,37.0,0.0,6,Hotel
